molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5441727,inactive,4.361091626534814,CC(C)[C@@H](Nc1n[nH]c2ncccc12)c1ccc2c(c1)S(=O)(=O)CCC2,370.4780000000002,3.487000000000002,2.0,5.0
CHEMBL5441858,inactive,4.002176919254275,CC(C)[C@@H](Nc1nc(C(F)F)nc2ccccc12)c1ccc2c(c1)OCCO2,385.4140000000002,5.147800000000004,1.0,5.0
CHEMBL5442122,inactive,4.002176919254275,CC(C)[C@@H](Nc1nc(C2CC2)nc2[nH]ccc12)c1ccc2c(c1)OCCO2,364.4490000000002,4.415700000000004,2.0,5.0
CHEMBL5441722,inactive,4.002176919254275,CC(C)[C@@H](Nc1nc(N(C)C)nc2[nH]ccc12)c1ccc2c(c1)OCCO2,367.4530000000002,3.604300000000002,2.0,6.0
CHEMBL5441807,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncc2c(n1)CCCC2)c1ccc2c(c1)OCCO2,339.4390000000001,3.935800000000003,1.0,5.0
CHEMBL5441846,inactive,4.002176919254275,CC(C)[C@@H](Nc1nccc2[nH]c(=O)[nH]c12)c1ccc2c(c1)S(=O)(=O)CCC2,386.4770000000002,2.7803000000000013,3.0,5.0
CHEMBL5441819,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc(N)c1Cl)c1ccc2c(c1)S(=O)(=O)CCC2,380.9010000000002,3.2413000000000016,2.0,6.0
CHEMBL5441564,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc(N2CCCC2)n1)c1ccc2c(c1)S(=O)(=O)CCC2,401.5360000000002,3.0009000000000015,1.0,7.0
CHEMBL5441643,inactive,4.818256425589245,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3[nH]ncc3C3CC3)cc12)c1ccc2c(c1)OCCO2,430.51200000000034,4.805800000000003,3.0,6.0
CHEMBL5441472,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc(-c4ccccc4)n[nH]3)cc12)c1ccc2c(c1)OCCO2,466.54500000000024,5.595400000000003,3.0,6.0
CHEMBL5441866,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc4c(C#N)cccc4[nH]3)cc12)c1ccc2c(c1)OCCO2,464.5290000000003,5.558280000000003,3.0,6.0
CHEMBL5441856,active,6.527243550682788,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc4c(cc3F)NC(=O)CC4)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,533.6290000000002,5.177800000000004,3.0,6.0
CHEMBL5441509,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(-n4cccn4)cc3)cc12)c1ccc2c(c1)OCCO2,466.5450000000003,5.3910000000000045,2.0,7.0
CHEMBL5441871,active,7.318758762624412,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(=O)n(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,477.5900000000003,3.852700000000003,2.0,7.0
CHEMBL5441809,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(C4(C#N)CC4)cc3)cc12)c1ccc2c(c1)OCCO2,465.55700000000036,5.760480000000005,2.0,6.0
CHEMBL5442006,inactive,4.5581399737104995,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(CC#N)cc3)cc12)c1ccc2c(c1)OCCO2,439.51900000000023,5.271380000000004,2.0,6.0
CHEMBL5441473,active,7.0,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(S(=O)(=O)NCCO)cc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,569.7090000000001,3.4246000000000025,4.0,8.0
CHEMBL5441829,active,7.221848749616356,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(S(C)(=O)=O)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,525.6560000000003,3.9525000000000032,2.0,8.0
CHEMBL5441570,active,6.616184634019569,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(S(N)(=O)=O)c4nsnc34)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,583.7210000000001,3.8061000000000025,3.0,10.0
CHEMBL5442039,inactive,4.697712373023788,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4[nH]ncc4c3)cc12)c1ccc2c(c1)OCCO2,440.5070000000003,5.0816000000000034,3.0,6.0
CHEMBL5441517,active,6.476253533188435,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4c(c3)C(C)(C)C(=O)N4)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,529.6660000000002,5.383700000000004,3.0,6.0
CHEMBL5441425,active,6.962573502059376,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4cncn4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,486.60100000000034,4.801700000000004,2.0,7.0
CHEMBL5441419,active,7.0338582672609675,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4nnn(C)c4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,501.6160000000004,4.435700000000003,2.0,8.0
CHEMBL5441459,active,6.617982957425132,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(-n4cnnn4)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,514.6150000000002,4.129700000000002,2.0,9.0
CHEMBL5442050,inactive,4.700133298675894,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(C#N)c3)cc12)c1ccc2c(c1)OCCO2,425.49200000000025,5.076980000000004,2.0,6.0
CHEMBL5441657,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(CN4CCCS4(=O)=O)c3)cc12)c1ccc2c(c1)OCCO2,533.6540000000003,4.740800000000004,2.0,7.0
CHEMBL5441752,inactive,4.002176919254275,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(Cn4ccnc4)c3)cc12)c1ccc2c(c1)OCCO2,480.5720000000003,5.450100000000005,2.0,7.0
CHEMBL5441571,active,6.443697499232712,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc4c3NC(=O)C4)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,501.6120000000004,4.648600000000003,3.0,6.0
CHEMBL5441896,active,7.130768280269024,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn(C)c(=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,477.5900000000003,3.852700000000003,2.0,7.0
CHEMBL5441683,active,6.012333735073725,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn(C)n3)cc12)c1ccc2c(c1)OCCO2,404.4740000000003,3.9388000000000023,2.0,7.0
CHEMBL5442008,active,7.031517051446065,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn4cnnc4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,487.58900000000034,4.1967000000000025,2.0,8.0
CHEMBL5441812,inactive,4.771984824898212,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnc(N4CCCC4)c3)cc12)c1ccc2c(c1)OCCO2,470.5770000000004,5.200500000000004,2.0,7.0
CHEMBL5442158,active,6.943095148663527,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnc(OCCN(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,534.6860000000003,4.489400000000004,2.0,8.0
CHEMBL5441580,active,6.079876673709276,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnn3C)cc12)c1ccc2c(c1)OCCO2,404.4740000000003,3.9388000000000023,2.0,7.0
CHEMBL5441882,active,6.0670191780768015,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn(C)nc3C#N)cc12)c1ccc2c(c1)OCCO2,429.48400000000026,3.8104800000000028,2.0,8.0
